Cristian Dell'Orco	,Serie A,Italy,Italy,1000000,1000000,2017-03-28 00:00:00,Lecce
Cristiano Biraghi	,Serie A,Italy,Italy,10000000,10000000,2018-12-20 00:00:00,Inter
Cristiano Piccini	,LaLiga,Italy,Italy,10000000,10000000,2019-06-11 00:00:00,Valencia
Daniel Bessa	,Serie A,Italy,Italy,4000000,5000000,2018-12-20 00:00:00,Hellas Verona
Daniel Caligiuri	,Bundesliga,Italy,Italy,6500000,7500000,2015-07-01 00:00:00,FC Schalke 04
Daniele Baselli	,Serie A,Italy,Italy,10000000,10000000,2018-06-07 00:00:00,Torino
Daniele Dessena	,Serie A,Italy,Italy,500000,4000000,2008-02-05 00:00:00,Brescia
Daniele Gastaldello	,Serie A,Italy,Italy,300000,5500000,2011-01-10 00:00:00,Brescia
Daniele Padelli	,Serie A,Italy,Italy,800000,2000000,2014-07-01 00:00:00,Inter
Daniele Ragatzu	,Serie A,Italy,Italy,400000,1500000,2010-06-30 00:00:00,Cagliari Calcio
Daniele Rugani	,Serie A,Italy,Italy,22000000,22000000,2018-06-07 00:00:00,Juventus
Danilo Cataldi	,Serie A,Italy,Italy,4000000,7000000,2015-07-01 00:00:00,Lazio
Danilo D'Ambrosio	,Serie A,Italy,Italy,13000000,13000000,2017-12-29 00:00:00,Inter
Davide Biraschi	,Serie A,Italy,Italy,4500000,4500000,2019-06-06 00:00:00,Genoa
Davide Calabria	,Serie A,Italy,Italy,18000000,20000000,2019-03-01 00:00:00,AC Milan
Davide Faraoni	,Serie A,Italy,Italy,900000,4000000,2012-06-08 00:00:00,Hellas Verona
Davide Riccardi	,Serie A,Italy,Italy,150000,175000,2017-12-20 00:00:00,Lecce
Davide Santon	,Serie A,Italy,Italy,5000000,10000000,2010-08-02 00:00:00,AS Roma
Davide Zappacosta	,Serie A,Italy,Italy,15000000,20000000,2018-01-02 00:00:00,AS Roma
Dimitri Bisoli	,Serie A,Italy,Italy,3500000,3500000,2019-06-05 00:00:00,Brescia
Domenico Berardi	,Serie A,Italy,Italy,24000000,25000000,2017-06-08 00:00:00,Sassuolo
Domenico Criscito	,Serie A,Italy,Italy,4000000,16000000,2013-01-13 00:00:00,Genoa
Eddie Salcedo	,Serie A,Italy,Italy,2000000,2000000,2018-03-24 00:00:00,Hellas Verona
Edoardo Goldaniga	,Serie A,Italy,Italy,2000000,3000000,2017-12-29 00:00:00,Genoa
Elia Soriano	,Eredivisie,Italy,Italy,550000,700000,2017-01-23 00:00:00,VVV-Venlo
Emanuele Rovini	,Serie A,Italy,Italy,250000,400000,2014-07-01 00:00:00,Udinese Calcio
Emil Audero	,Serie A,Italy,Italy,15000000,15000000,2019-03-01 00:00:00,Sampdoria
Enrico Alfonso	,Serie A,Italy,Italy,600000,1000000,2007-08-29 00:00:00,Brescia
Ernesto Torregrossa	,Serie A,Italy,Italy,3000000,3000000,2019-06-05 00:00:00,Brescia
Ezequiel Schelotto	,Premier League,Italy,Italy,2000000,6500000,2012-05-22 00:00:00,Brighton
Fabio Borini	,Serie A,Italy,Italy,7000000,12000000,2012-09-09 00:00:00,AC Milan
Fabio Depaoli	,Serie A,Italy,Italy,5000000,5000000,2019-03-01 00:00:00,Sampdoria
Fabio Lucioni	,Serie A,Italy,Italy,900000,900000,2017-06-09 00:00:00,Lecce
Fabio Pisacane	,Serie A,Italy,Italy,700000,900000,2017-06-08 00:00:00,Cagliari Calcio
Fabio Quagliarella	,Serie A,Italy,Italy,2500000,17500000,2011-01-20 00:00:00,Sampdoria
Fabrizio Alastra	,Serie A,Italy,Italy,300000,500000,2016-07-15 00:00:00,Parma
Fabrizio Cacciatore	,Serie A,Italy,Italy,800000,1900000,2014-01-07 00:00:00,Cagliari Calcio
Federico Barba	,LaLiga,Italy,Italy,2000000,2000000,2015-07-01 00:00:00,Real Valladolid
Federico Bernardeschi	,Serie A,Italy,Italy,45000000,45000000,2018-10-12 00:00:00,Juventus
Federico Bonazzoli	,Serie A,Italy,Italy,1500000,3500000,2015-07-01 00:00:00,Sampdoria
Federico Brancolini	,Serie A,Italy,Italy,100000,100000,2019-06-17 00:00:00,Fiorentina
Federico Ceccherini	,Serie A,Italy,Italy,3500000,3500000,2019-06-06 00:00:00,Fiorentina
Federico Chiesa	,Serie A,Italy,Italy,60000000,60000000,2019-06-06 00:00:00,Fiorentina
Federico Di Francesco	,Serie A,Italy,Italy,4500000,5000000,2018-10-12 00:00:00,SPAL
